"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM33201","13","720","0","0","07","Saturday","16","12"
"PM33202","3","60","0","0","07","Saturday","16","12"
"PM33221","14","480","1","71","07","Saturday","16","12"
"PM33222","7","120","0","67","07","Saturday","16","12"
"PM40442","2","60","0","86","07","Saturday","16","12"
"PM40461","8","600","0","0","07","Saturday","16","12"
"PM40751","29","960","3","45","07","Saturday","16","12"
"PM40752","11","180","1","88","07","Saturday","16","12"
"PM40753","7","120","0","-127","07","Saturday","16","12"
"PM40754","24","1200","2","93","07","Saturday","16","12"
"PM40755","14","240","1","72","07","Saturday","16","12"
"PM40901","14","660","2","74","07","Saturday","16","12"
"PM40902","9","120","2","96","07","Saturday","16","12"
"PM41261","13","420","1","100","07","Saturday","16","12"
"PM41262","5","180","0","80","07","Saturday","16","12"
"PM41301","8","360","1","91","07","Saturday","16","12"
"PM41302","11","180","1","85","07","Saturday","16","12"
"PM41351","10","600","2","88","07","Saturday","16","12"
"PM41451","19","900","3","66","07","Saturday","16","12"
"PM41452","0","0","0","88","07","Saturday","16","12"
"PM41453","30","1020","0","65","07","Saturday","16","12"
"PM41801","15","720","2","77","07","Saturday","16","12"
"PM41802","5","180","0","75","07","Saturday","16","12"
"PM41851","13","900","1","57","07","Saturday","16","12"
"PM41852","0","0","0","0","07","Saturday","16","12"
"PM41853","8","240","1","92","07","Saturday","16","12"
"PM41881","29","960","3","137","07","Saturday","16","12"
"PM41882","0","0","0","94","07","Saturday","16","12"
"PM41891","13","420","1","73","07","Saturday","16","12"
"PM41892","14","420","3","68","07","Saturday","16","12"
"PM42051","3","120","0","82","07","Saturday","16","12"
"PM42052","11","180","1","78","07","Saturday","16","12"
"PM42351","5","360","0","70","07","Saturday","16","12"
"PM42352","3","60","0","85","07","Saturday","16","12"
"PM42353","2","60","0","87","07","Saturday","16","12"
"PM43001","10","360","4","96","07","Saturday","16","12"
"PM43011","7","360","0","92","07","Saturday","16","12"
"PM43012","5","180","0","81","07","Saturday","16","12"
"PM43021","3","180","0","83","07","Saturday","16","12"
"PM43022","8","240","1","78","07","Saturday","16","12"
"PM43031","7","300","1","74","07","Saturday","16","12"
"PM43032","3","60","0","50","07","Saturday","16","12"
"PM43151","5","120","3","48","07","Saturday","16","12"
"PM43152","0","0","0","0","07","Saturday","16","12"
"PM43201","18","900","1","99","07","Saturday","16","12"
"PM43202","10","180","0","97","07","Saturday","16","12"
"PM43221","32","1080","3","0","07","Saturday","16","12"
"PM43222","15","240","2","131","07","Saturday","16","12"
"PM43223","3","60","0","66","07","Saturday","16","12"
"PM20667","13","420","1","83","07","Saturday","16","12"
"PM20942","30","1020","3","0","07","Saturday","16","12"
"PM22502","4","240","0","66","07","Saturday","16","12"
"PM40462","28","420","6","93","07","Saturday","16","12"
"PM40463","31","480","6","72","07","Saturday","16","12"
"PM41861","19","960","2",NA,"07","Saturday","16","12"
"PM41454","3","180","0",NA,"07","Saturday","16","12"
"03FL08PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"03FL08PM02",NA,NA,NA,NA,"07","Saturday","16","12"
"03FL20PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"03FL56PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"03FT08PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"03FT52PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"04FL12PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"04FL92PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"04FT14PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"04FT74PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"04TL40PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"04TL40PM02",NA,NA,NA,NA,"07","Saturday","16","12"
"04TL40PM03",NA,NA,NA,NA,"07","Saturday","16","12"
"04TL40PM04",NA,NA,NA,NA,"07","Saturday","16","12"
"05FT10PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"05FT37PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"05FT66PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"05TL00PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"05TL00PM02",NA,NA,NA,NA,"07","Saturday","16","12"
"05TL00PM03",NA,NA,NA,NA,"07","Saturday","16","12"
"08RE14PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"08RE66PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"08RL21PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"08RR02PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"08RR18PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"09NC51PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"09XC09PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"09XC37PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"10NC18PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"10NC76PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"10XC18PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"10XC82PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"11NC43PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"11RE20PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"11RE59PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"11RE59PM02",NA,NA,NA,NA,"07","Saturday","16","12"
"11XC46PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"12NC07PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"12NC63PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"12XC06PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"12XC63PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"13NC25PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"13NC95PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"13NL60PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"13XC26PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"13XC97PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"13XL49PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14NC58PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14NC96PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14NL24PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14NL78PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RA02PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RA15PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RC10PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RE35PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RH25PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RL11PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RL30PM01",NA,NA,NA,NA,"07","Saturday","16","12"
"14RM32PM01",NA,NA,NA,NA,"07","Saturday","16","12"
